-----INSERCIONES DE CLIENTES--------------
INSERT INTO pedido VALUES(391,15,15,4,'11/05/13');
INSERT INTO pedido VALUES(392,19,5,4,'3/05/13');
INSERT INTO pedido VALUES(393,13,12,5,'18/05/13');
INSERT INTO pedido VALUES(394,28,29,1,'14/05/13');
INSERT INTO pedido VALUES(395,5,20,6,'14/05/13');
INSERT INTO pedido VALUES(396,12,15,1,'11/05/13');
INSERT INTO pedido VALUES(397,28,6,9,'2/05/13');
INSERT INTO pedido VALUES(398,10,18,8,'13/05/13');
INSERT INTO pedido VALUES(399,8,6,2,'21/05/13');
INSERT INTO pedido VALUES(400,16,20,5,'10/05/13');
INSERT INTO pedido VALUES(401,29,14,2,'27/05/13');
INSERT INTO pedido VALUES(402,28,28,1,'7/05/13');
INSERT INTO pedido VALUES(403,13,21,1,'7/05/13');
INSERT INTO pedido VALUES(404,15,20,9,'28/05/13');
INSERT INTO pedido VALUES(405,27,1,9,'1/05/13');
INSERT INTO pedido VALUES(406,17,26,9,'29/05/13');
INSERT INTO pedido VALUES(407,10,12,5,'23/05/13');
INSERT INTO pedido VALUES(408,16,21,10,'8/05/13');
INSERT INTO pedido VALUES(409,7,29,6,'29/05/13');
INSERT INTO pedido VALUES(410,2,6,5,'9/05/13');
INSERT INTO pedido VALUES(411,5,27,9,'25/05/13');
INSERT INTO pedido VALUES(412,13,26,8,'11/05/13');
INSERT INTO pedido VALUES(413,21,15,7,'21/05/13');
INSERT INTO pedido VALUES(414,3,1,9,'9/05/13');
INSERT INTO pedido VALUES(415,28,30,7,'13/05/13');
INSERT INTO pedido VALUES(416,23,16,6,'26/05/13');
INSERT INTO pedido VALUES(417,11,19,4,'3/05/13');
INSERT INTO pedido VALUES(418,5,12,9,'26/05/13');
INSERT INTO pedido VALUES(419,4,17,5,'13/05/13');
INSERT INTO pedido VALUES(420,11,9,3,'15/05/13');
INSERT INTO pedido VALUES(421,15,13,6,'13/05/13');
INSERT INTO pedido VALUES(422,18,17,4,'7/05/13');
INSERT INTO pedido VALUES(423,6,14,2,'11/05/13');
INSERT INTO pedido VALUES(424,2,25,10,'29/05/13');
INSERT INTO pedido VALUES(425,10,20,2,'19/05/13');
INSERT INTO pedido VALUES(426,5,13,9,'17/05/13');
INSERT INTO pedido VALUES(427,17,17,5,'2/05/13');
INSERT INTO pedido VALUES(428,17,30,3,'28/05/13');
INSERT INTO pedido VALUES(429,26,12,6,'13/05/13');
INSERT INTO pedido VALUES(430,8,22,9,'11/05/13');
INSERT INTO pedido VALUES(431,8,16,8,'19/05/13');
INSERT INTO pedido VALUES(432,26,2,10,'12/05/13');
INSERT INTO pedido VALUES(433,6,1,5,'10/05/13');
INSERT INTO pedido VALUES(434,19,8,3,'27/05/13');
INSERT INTO pedido VALUES(435,10,2,5,'11/05/13');
INSERT INTO pedido VALUES(436,12,4,4,'1/05/13');
INSERT INTO pedido VALUES(437,6,27,10,'11/05/13');
INSERT INTO pedido VALUES(438,13,23,2,'24/05/13');
INSERT INTO pedido VALUES(439,20,23,3,'24/05/13');
INSERT INTO pedido VALUES(440,4,22,4,'3/05/13');
INSERT INTO pedido VALUES(441,18,16,10,'26/05/13');
INSERT INTO pedido VALUES(442,30,1,2,'4/05/13');
INSERT INTO pedido VALUES(443,19,9,8,'25/05/13');
INSERT INTO pedido VALUES(444,7,17,8,'8/05/13');
INSERT INTO pedido VALUES(445,10,28,3,'26/05/13');
INSERT INTO pedido VALUES(446,27,24,5,'5/05/13');
INSERT INTO pedido VALUES(447,4,16,10,'2/05/13');
INSERT INTO pedido VALUES(448,16,10,4,'25/05/13');
INSERT INTO pedido VALUES(449,15,12,7,'17/05/13');
INSERT INTO pedido VALUES(450,22,12,3,'10/05/13');
INSERT INTO pedido VALUES(451,19,19,7,'2/05/13');
INSERT INTO pedido VALUES(452,26,27,7,'30/05/13');
INSERT INTO pedido VALUES(453,12,13,6,'17/05/13');
INSERT INTO pedido VALUES(454,6,16,9,'25/05/13');
INSERT INTO pedido VALUES(455,11,8,1,'26/05/13');
INSERT INTO pedido VALUES(456,28,10,3,'22/05/13');
INSERT INTO pedido VALUES(457,6,3,8,'20/05/13');
INSERT INTO pedido VALUES(458,27,29,7,'22/05/13');
INSERT INTO pedido VALUES(459,19,28,6,'13/05/13');
INSERT INTO pedido VALUES(460,5,15,7,'9/05/13');
INSERT INTO pedido VALUES(461,27,11,5,'6/05/13');
INSERT INTO pedido VALUES(462,12,24,5,'10/05/13');
INSERT INTO pedido VALUES(463,11,1,8,'14/05/13');
INSERT INTO pedido VALUES(464,3,11,2,'16/05/13');
INSERT INTO pedido VALUES(465,18,9,5,'11/05/13');
INSERT INTO pedido VALUES(466,29,7,6,'9/05/13');
INSERT INTO pedido VALUES(467,13,8,7,'27/05/13');
INSERT INTO pedido VALUES(468,24,26,9,'30/05/13');
INSERT INTO pedido VALUES(469,6,23,2,'4/05/13');
INSERT INTO pedido VALUES(470,24,16,10,'29/05/13');
INSERT INTO pedido VALUES(471,22,29,2,'2/05/13');
INSERT INTO pedido VALUES(472,19,20,2,'20/05/13');
INSERT INTO pedido VALUES(473,19,8,10,'14/05/13');
INSERT INTO pedido VALUES(474,22,18,10,'15/05/13');
INSERT INTO pedido VALUES(475,21,16,4,'7/05/13');
INSERT INTO pedido VALUES(476,10,8,6,'10/05/13');
INSERT INTO pedido VALUES(477,1,7,7,'26/05/13');
INSERT INTO pedido VALUES(478,10,27,2,'30/05/13');
INSERT INTO pedido VALUES(479,15,18,6,'30/05/13');
INSERT INTO pedido VALUES(480,8,1,8,'27/05/13');
INSERT INTO pedido VALUES(481,29,9,1,'7/05/13');
INSERT INTO pedido VALUES(482,22,22,3,'17/05/13');
INSERT INTO pedido VALUES(483,28,22,3,'5/05/13');
INSERT INTO pedido VALUES(484,22,20,9,'9/05/13');
INSERT INTO pedido VALUES(485,11,12,2,'4/05/13');
INSERT INTO pedido VALUES(486,21,27,7,'18/05/13');
INSERT INTO pedido VALUES(487,26,23,2,'6/05/13');
INSERT INTO pedido VALUES(488,5,18,4,'1/05/13');
INSERT INTO pedido VALUES(489,6,16,7,'12/05/13');
INSERT INTO pedido VALUES(490,17,30,6,'18/05/13');
INSERT INTO pedido VALUES(491,13,10,5,'8/05/13');
INSERT INTO pedido VALUES(492,21,22,10,'21/05/13');
INSERT INTO pedido VALUES(493,17,5,10,'30/05/13');
INSERT INTO pedido VALUES(494,7,26,3,'13/05/13');
INSERT INTO pedido VALUES(495,17,9,7,'29/05/13');
INSERT INTO pedido VALUES(496,25,7,1,'27/05/13');
INSERT INTO pedido VALUES(497,27,29,6,'13/05/13');
INSERT INTO pedido VALUES(498,29,14,6,'7/05/13');
INSERT INTO pedido VALUES(499,20,19,10,'17/05/13');
INSERT INTO pedido VALUES(500,20,12,5,'7/05/13');
INSERT INTO pedido VALUES(501,24,17,2,'7/05/13');
INSERT INTO pedido VALUES(502,19,15,5,'13/05/13');
INSERT INTO pedido VALUES(503,7,19,7,'26/05/13');
INSERT INTO pedido VALUES(504,29,29,1,'21/05/13');
INSERT INTO pedido VALUES(505,4,24,8,'2/05/13');
INSERT INTO pedido VALUES(506,15,25,2,'18/05/13');
INSERT INTO pedido VALUES(507,24,26,4,'24/05/13');
INSERT INTO pedido VALUES(508,27,9,5,'30/05/13');
INSERT INTO pedido VALUES(509,17,8,6,'30/05/13');
INSERT INTO pedido VALUES(510,8,1,4,'16/05/13');
INSERT INTO pedido VALUES(511,30,22,6,'5/05/13');
INSERT INTO pedido VALUES(512,19,25,6,'15/05/13');
INSERT INTO pedido VALUES(513,10,27,10,'7/05/13');
INSERT INTO pedido VALUES(514,2,21,6,'4/05/13');
INSERT INTO pedido VALUES(515,15,6,9,'21/05/13');
INSERT INTO pedido VALUES(516,20,22,3,'29/05/13');
INSERT INTO pedido VALUES(517,18,7,6,'28/05/13');
INSERT INTO pedido VALUES(518,14,21,5,'4/05/13');
INSERT INTO pedido VALUES(519,15,15,6,'2/05/13');
INSERT INTO pedido VALUES(520,25,21,9,'28/05/13');
INSERT INTO pedido VALUES(521,3,18,8,'27/05/13');
INSERT INTO pedido VALUES(522,12,10,5,'4/05/13');
INSERT INTO pedido VALUES(523,29,30,1,'22/05/13');
INSERT INTO pedido VALUES(524,3,25,8,'29/05/13');
INSERT INTO pedido VALUES(525,1,22,1,'2/05/13');
INSERT INTO pedido VALUES(526,6,12,3,'10/05/13');
INSERT INTO pedido VALUES(527,5,1,3,'17/05/13');
INSERT INTO pedido VALUES(528,4,22,9,'10/05/13');
INSERT INTO pedido VALUES(529,18,22,10,'19/05/13');
INSERT INTO pedido VALUES(530,20,8,3,'9/05/13');
INSERT INTO pedido VALUES(531,8,18,3,'23/05/13');
INSERT INTO pedido VALUES(532,22,25,4,'24/05/13');
INSERT INTO pedido VALUES(533,20,8,7,'13/05/13');
INSERT INTO pedido VALUES(534,29,20,5,'24/05/13');
INSERT INTO pedido VALUES(535,11,13,7,'15/05/13');
INSERT INTO pedido VALUES(536,21,22,1,'25/05/13');
INSERT INTO pedido VALUES(537,1,29,5,'25/05/13');
INSERT INTO pedido VALUES(538,22,15,1,'14/05/13');
INSERT INTO pedido VALUES(539,28,28,3,'9/05/13');
INSERT INTO pedido VALUES(540,24,24,9,'20/05/13');
INSERT INTO pedido VALUES(541,23,7,8,'19/05/13');
INSERT INTO pedido VALUES(542,30,21,2,'17/05/13');
INSERT INTO pedido VALUES(543,11,27,7,'21/05/13');
INSERT INTO pedido VALUES(544,11,28,5,'2/05/13');
INSERT INTO pedido VALUES(545,9,7,9,'24/05/13');
INSERT INTO pedido VALUES(546,8,22,10,'22/05/13');
INSERT INTO pedido VALUES(547,20,24,8,'25/05/13');
INSERT INTO pedido VALUES(548,15,13,3,'25/05/13');
INSERT INTO pedido VALUES(549,19,11,1,'27/05/13');
INSERT INTO pedido VALUES(550,16,4,5,'13/05/13');
INSERT INTO pedido VALUES(551,3,20,5,'13/05/13');
INSERT INTO pedido VALUES(552,9,2,6,'26/05/13');
INSERT INTO pedido VALUES(553,2,19,8,'19/05/13');
INSERT INTO pedido VALUES(554,10,30,2,'25/05/13');
INSERT INTO pedido VALUES(555,13,5,5,'14/05/13');
INSERT INTO pedido VALUES(556,18,7,6,'11/05/13');
INSERT INTO pedido VALUES(557,2,23,5,'2/05/13');
INSERT INTO pedido VALUES(558,20,10,1,'6/05/13');
INSERT INTO pedido VALUES(559,15,21,6,'8/05/13');
INSERT INTO pedido VALUES(560,17,14,7,'5/05/13');
INSERT INTO pedido VALUES(561,29,9,9,'19/05/13');
INSERT INTO pedido VALUES(562,5,11,5,'20/05/13');
INSERT INTO pedido VALUES(563,26,20,7,'19/05/13');
INSERT INTO pedido VALUES(564,6,26,2,'14/05/13');
INSERT INTO pedido VALUES(565,15,2,10,'6/05/13');
INSERT INTO pedido VALUES(566,2,19,6,'17/05/13');
INSERT INTO pedido VALUES(567,22,12,7,'29/05/13');
INSERT INTO pedido VALUES(568,4,24,6,'15/05/13');
INSERT INTO pedido VALUES(569,4,26,3,'22/05/13');
INSERT INTO pedido VALUES(570,6,5,5,'4/05/13');
INSERT INTO pedido VALUES(571,20,18,8,'14/05/13');
INSERT INTO pedido VALUES(572,27,24,7,'22/05/13');
INSERT INTO pedido VALUES(573,19,22,10,'2/05/13');
INSERT INTO pedido VALUES(574,5,12,7,'28/05/13');
INSERT INTO pedido VALUES(575,29,14,3,'21/05/13');
INSERT INTO pedido VALUES(576,3,16,4,'7/05/13');
INSERT INTO pedido VALUES(577,28,28,6,'10/05/13');
INSERT INTO pedido VALUES(578,8,6,4,'8/05/13');
INSERT INTO pedido VALUES(579,16,29,2,'27/05/13');
INSERT INTO pedido VALUES(580,5,3,6,'27/05/13');
INSERT INTO pedido VALUES(581,14,26,6,'8/05/13');
INSERT INTO pedido VALUES(582,19,14,8,'22/05/13');
INSERT INTO pedido VALUES(583,12,5,8,'20/05/13');
INSERT INTO pedido VALUES(584,4,6,7,'17/05/13');
INSERT INTO pedido VALUES(585,27,22,5,'13/05/13');
INSERT INTO pedido VALUES(586,6,7,10,'14/05/13');
INSERT INTO pedido VALUES(587,3,20,6,'14/05/13');
INSERT INTO pedido VALUES(588,24,22,10,'19/05/13');
INSERT INTO pedido VALUES(589,6,29,7,'7/05/13');
INSERT INTO pedido VALUES(590,28,26,5,'23/05/13');
INSERT INTO pedido VALUES(591,8,25,7,'19/05/13');
INSERT INTO pedido VALUES(592,5,14,7,'15/05/13');
INSERT INTO pedido VALUES(593,2,11,10,'25/05/13');
INSERT INTO pedido VALUES(594,20,30,4,'5/05/13');
INSERT INTO pedido VALUES(595,11,11,7,'1/05/13');
INSERT INTO pedido VALUES(596,27,23,3,'23/05/13');
INSERT INTO pedido VALUES(597,22,5,8,'23/05/13');
INSERT INTO pedido VALUES(598,10,22,9,'30/05/13');
INSERT INTO pedido VALUES(599,14,18,7,'3/05/13');
INSERT INTO pedido VALUES(600,13,21,1,'30/05/13');
INSERT INTO pedido VALUES(601,11,27,3,'21/05/13');
INSERT INTO pedido VALUES(602,30,4,5,'17/05/13');
INSERT INTO pedido VALUES(603,5,4,4,'28/05/13');
INSERT INTO pedido VALUES(604,25,2,10,'16/05/13');
INSERT INTO pedido VALUES(605,11,22,4,'19/05/13');
INSERT INTO pedido VALUES(606,27,14,10,'14/05/13');
INSERT INTO pedido VALUES(607,29,8,6,'13/05/13');
INSERT INTO pedido VALUES(608,17,23,9,'18/05/13');
INSERT INTO pedido VALUES(609,16,1,2,'12/05/13');
INSERT INTO pedido VALUES(610,19,14,7,'25/05/13');
INSERT INTO pedido VALUES(611,2,18,10,'14/05/13');
INSERT INTO pedido VALUES(612,20,6,8,'14/05/13');
INSERT INTO pedido VALUES(613,11,13,3,'17/05/13');
INSERT INTO pedido VALUES(614,2,8,9,'16/05/13');
INSERT INTO pedido VALUES(615,2,18,6,'11/05/13');
INSERT INTO pedido VALUES(616,5,28,2,'5/05/13');
INSERT INTO pedido VALUES(617,26,24,7,'15/05/13');
INSERT INTO pedido VALUES(618,18,19,6,'11/05/13');
INSERT INTO pedido VALUES(619,7,9,6,'9/05/13');
INSERT INTO pedido VALUES(620,22,14,10,'1/05/13');
INSERT INTO pedido VALUES(621,13,24,5,'9/05/13');
INSERT INTO pedido VALUES(622,5,22,9,'8/05/13');
INSERT INTO pedido VALUES(623,9,25,1,'24/05/13');
INSERT INTO pedido VALUES(624,14,5,10,'26/05/13');
INSERT INTO pedido VALUES(625,19,18,10,'5/05/13');
INSERT INTO pedido VALUES(626,9,30,9,'10/05/13');
INSERT INTO pedido VALUES(627,30,9,1,'13/05/13');
INSERT INTO pedido VALUES(628,11,12,4,'28/05/13');
INSERT INTO pedido VALUES(629,26,1,2,'5/05/13');
INSERT INTO pedido VALUES(630,11,26,3,'4/05/13');
INSERT INTO pedido VALUES(631,2,10,9,'18/05/13');
INSERT INTO pedido VALUES(632,9,21,5,'16/05/13');
INSERT INTO pedido VALUES(633,19,18,7,'16/05/13');
INSERT INTO pedido VALUES(634,14,14,4,'17/05/13');
INSERT INTO pedido VALUES(635,6,30,1,'10/05/13');
INSERT INTO pedido VALUES(636,5,10,5,'13/05/13');
INSERT INTO pedido VALUES(637,6,15,2,'21/05/13');
INSERT INTO pedido VALUES(638,23,4,9,'3/05/13');
INSERT INTO pedido VALUES(639,4,15,6,'5/05/13');
INSERT INTO pedido VALUES(640,10,21,9,'30/05/13');
INSERT INTO pedido VALUES(641,19,3,10,'19/05/13');
INSERT INTO pedido VALUES(642,14,29,8,'20/05/13');
INSERT INTO pedido VALUES(643,1,6,3,'8/05/13');
INSERT INTO pedido VALUES(644,6,7,8,'30/05/13');
INSERT INTO pedido VALUES(645,3,12,9,'15/05/13');
INSERT INTO pedido VALUES(646,29,3,4,'21/05/13');
INSERT INTO pedido VALUES(647,22,7,8,'16/05/13');
INSERT INTO pedido VALUES(648,12,6,10,'3/05/13');
INSERT INTO pedido VALUES(649,22,11,3,'15/05/13');
INSERT INTO pedido VALUES(650,28,3,7,'5/05/13');
INSERT INTO pedido VALUES(651,9,17,7,'26/05/13');
INSERT INTO pedido VALUES(652,20,26,10,'7/05/13');
INSERT INTO pedido VALUES(653,17,20,7,'14/05/13');
INSERT INTO pedido VALUES(654,16,30,2,'15/05/13');
INSERT INTO pedido VALUES(655,19,1,4,'12/05/13');
INSERT INTO pedido VALUES(656,14,17,7,'16/05/13');
INSERT INTO pedido VALUES(657,10,22,2,'8/05/13');
INSERT INTO pedido VALUES(658,11,20,3,'11/05/13');
INSERT INTO pedido VALUES(659,10,3,10,'2/05/13');
INSERT INTO pedido VALUES(660,19,6,2,'30/05/13');
INSERT INTO pedido VALUES(661,4,3,6,'5/05/13');
INSERT INTO pedido VALUES(662,27,18,5,'25/05/13');
INSERT INTO pedido VALUES(663,17,2,2,'30/05/13');
INSERT INTO pedido VALUES(664,11,24,7,'2/05/13');
INSERT INTO pedido VALUES(665,24,25,8,'26/05/13');
INSERT INTO pedido VALUES(666,9,1,9,'28/05/13');
INSERT INTO pedido VALUES(667,30,30,8,'5/05/13');
INSERT INTO pedido VALUES(668,8,2,1,'22/05/13');
INSERT INTO pedido VALUES(669,17,23,7,'19/05/13');
INSERT INTO pedido VALUES(670,22,17,5,'23/05/13');
INSERT INTO pedido VALUES(671,1,28,8,'7/05/13');
INSERT INTO pedido VALUES(672,2,11,1,'10/05/13');
INSERT INTO pedido VALUES(673,3,5,7,'26/05/13');
INSERT INTO pedido VALUES(674,14,7,8,'3/05/13');
INSERT INTO pedido VALUES(675,3,26,7,'6/05/13');
INSERT INTO pedido VALUES(676,1,24,5,'7/05/13');
INSERT INTO pedido VALUES(677,24,21,5,'4/05/13');
INSERT INTO pedido VALUES(678,1,24,2,'9/05/13');
INSERT INTO pedido VALUES(679,2,29,4,'13/05/13');
INSERT INTO pedido VALUES(680,6,7,6,'7/05/13');
INSERT INTO pedido VALUES(681,24,23,10,'11/05/13');
INSERT INTO pedido VALUES(682,11,20,7,'30/05/13');
INSERT INTO pedido VALUES(683,21,26,3,'17/05/13');
INSERT INTO pedido VALUES(684,10,22,10,'14/05/13');
INSERT INTO pedido VALUES(685,29,24,6,'14/05/13');
INSERT INTO pedido VALUES(686,1,3,7,'24/05/13');
INSERT INTO pedido VALUES(687,15,20,5,'24/05/13');
INSERT INTO pedido VALUES(688,21,1,1,'7/05/13');
INSERT INTO pedido VALUES(689,14,12,8,'11/05/13');
INSERT INTO pedido VALUES(690,5,25,5,'3/05/13');
INSERT INTO pedido VALUES(691,10,15,1,'25/05/13');
INSERT INTO pedido VALUES(692,13,7,7,'19/05/13');
INSERT INTO pedido VALUES(693,22,30,1,'8/05/13');
INSERT INTO pedido VALUES(694,28,6,7,'21/05/13');
INSERT INTO pedido VALUES(695,13,14,10,'16/05/13');
INSERT INTO pedido VALUES(696,25,18,1,'16/05/13');
INSERT INTO pedido VALUES(697,26,21,8,'10/05/13');
INSERT INTO pedido VALUES(698,13,13,1,'9/05/13');
INSERT INTO pedido VALUES(699,15,10,5,'28/05/13');
INSERT INTO pedido VALUES(700,12,17,2,'23/05/13');
INSERT INTO pedido VALUES(701,2,16,6,'23/05/13');
INSERT INTO pedido VALUES(702,4,25,6,'13/05/13');
INSERT INTO pedido VALUES(703,26,18,7,'3/05/13');
INSERT INTO pedido VALUES(704,11,24,3,'16/05/13');
INSERT INTO pedido VALUES(705,30,24,3,'2/05/13');
INSERT INTO pedido VALUES(706,22,20,8,'23/05/13');
INSERT INTO pedido VALUES(707,20,5,7,'14/05/13');
INSERT INTO pedido VALUES(708,15,20,2,'4/05/13');
INSERT INTO pedido VALUES(709,29,26,5,'22/05/13');
INSERT INTO pedido VALUES(710,19,8,1,'23/05/13');
INSERT INTO pedido VALUES(711,17,15,4,'20/05/13');
INSERT INTO pedido VALUES(712,30,13,2,'21/05/13');
INSERT INTO pedido VALUES(713,28,3,10,'15/05/13');
INSERT INTO pedido VALUES(714,28,23,9,'9/05/13');
INSERT INTO pedido VALUES(715,1,9,8,'8/05/13');
INSERT INTO pedido VALUES(716,24,6,7,'10/05/13');
INSERT INTO pedido VALUES(717,18,10,2,'16/05/13');
INSERT INTO pedido VALUES(718,20,29,9,'3/05/13');
INSERT INTO pedido VALUES(719,11,30,4,'23/05/13');
INSERT INTO pedido VALUES(720,3,13,3,'14/05/13');
INSERT INTO pedido VALUES(721,3,8,8,'10/05/13');
INSERT INTO pedido VALUES(722,30,27,2,'3/05/13');
INSERT INTO pedido VALUES(723,4,7,10,'12/05/13');
INSERT INTO pedido VALUES(724,1,3,10,'9/05/13');
INSERT INTO pedido VALUES(725,23,14,8,'22/05/13');
INSERT INTO pedido VALUES(726,15,16,8,'5/05/13');
INSERT INTO pedido VALUES(727,17,12,1,'12/05/13');
INSERT INTO pedido VALUES(728,23,17,2,'19/05/13');
INSERT INTO pedido VALUES(729,22,14,1,'10/05/13');
INSERT INTO pedido VALUES(730,5,4,10,'9/05/13');
INSERT INTO pedido VALUES(731,6,11,2,'3/05/13');
INSERT INTO pedido VALUES(732,19,3,5,'22/05/13');
INSERT INTO pedido VALUES(733,12,9,5,'15/05/13');
INSERT INTO pedido VALUES(734,25,25,10,'5/05/13');
INSERT INTO pedido VALUES(735,16,3,1,'8/05/13');
INSERT INTO pedido VALUES(736,26,30,2,'22/05/13');
INSERT INTO pedido VALUES(737,21,1,9,'7/05/13');
INSERT INTO pedido VALUES(738,3,25,10,'10/05/13');
INSERT INTO pedido VALUES(739,30,8,8,'11/05/13');
INSERT INTO pedido VALUES(740,2,17,9,'25/05/13');
INSERT INTO pedido VALUES(741,15,3,9,'24/05/13');
INSERT INTO pedido VALUES(742,26,17,5,'24/05/13');
INSERT INTO pedido VALUES(743,22,2,7,'5/05/13');
INSERT INTO pedido VALUES(744,18,12,1,'1/05/13');
INSERT INTO pedido VALUES(745,13,5,9,'21/05/13');
INSERT INTO pedido VALUES(746,11,3,4,'2/05/13');
INSERT INTO pedido VALUES(747,29,26,7,'7/05/13');
INSERT INTO pedido VALUES(748,14,22,1,'30/05/13');
INSERT INTO pedido VALUES(749,6,7,1,'15/05/13');
INSERT INTO pedido VALUES(750,9,25,2,'22/05/13');
INSERT INTO pedido VALUES(751,26,4,5,'22/05/13');
INSERT INTO pedido VALUES(752,6,4,3,'6/05/13');
INSERT INTO pedido VALUES(753,5,29,8,'22/05/13');
INSERT INTO pedido VALUES(754,9,23,3,'14/05/13');
INSERT INTO pedido VALUES(755,12,4,2,'30/05/13');
INSERT INTO pedido VALUES(756,12,30,10,'3/05/13');
INSERT INTO pedido VALUES(757,7,11,6,'18/05/13');
INSERT INTO pedido VALUES(758,28,3,6,'13/05/13');
INSERT INTO pedido VALUES(759,9,25,6,'17/05/13');
INSERT INTO pedido VALUES(760,27,23,8,'27/05/13');
INSERT INTO pedido VALUES(761,13,22,9,'7/05/13');
INSERT INTO pedido VALUES(762,2,9,7,'12/05/13');
INSERT INTO pedido VALUES(763,4,27,4,'2/05/13');
INSERT INTO pedido VALUES(764,30,18,1,'29/05/13');
INSERT INTO pedido VALUES(765,13,23,1,'6/05/13');
INSERT INTO pedido VALUES(766,30,14,3,'29/05/13');
INSERT INTO pedido VALUES(767,21,11,1,'9/05/13');
INSERT INTO pedido VALUES(768,4,27,8,'4/05/13');
INSERT INTO pedido VALUES(769,26,12,1,'18/05/13');
INSERT INTO pedido VALUES(770,24,6,6,'22/05/13');
INSERT INTO pedido VALUES(771,7,28,2,'12/05/13');
INSERT INTO pedido VALUES(772,12,12,10,'22/05/13');
INSERT INTO pedido VALUES(773,21,4,9,'5/05/13');
INSERT INTO pedido VALUES(774,15,29,6,'10/05/13');
INSERT INTO pedido VALUES(775,2,20,10,'5/05/13');
INSERT INTO pedido VALUES(776,29,1,9,'3/05/13');
INSERT INTO pedido VALUES(777,5,17,1,'1/05/13');
INSERT INTO pedido VALUES(778,8,17,2,'18/05/13');
INSERT INTO pedido VALUES(779,5,10,6,'6/05/13');
INSERT INTO pedido VALUES(780,3,5,8,'2/05/13');
INSERT INTO pedido VALUES(781,1,10,7,'16/05/13');
INSERT INTO pedido VALUES(782,24,12,10,'22/05/13');
INSERT INTO pedido VALUES(783,27,3,2,'21/05/13');
INSERT INTO pedido VALUES(784,27,28,5,'2/05/13');
INSERT INTO pedido VALUES(785,8,7,5,'20/05/13');
INSERT INTO pedido VALUES(786,15,25,6,'3/05/13');
INSERT INTO pedido VALUES(787,29,2,10,'20/05/13');
INSERT INTO pedido VALUES(788,29,23,2,'30/05/13');
INSERT INTO pedido VALUES(789,29,19,3,'21/05/13');
INSERT INTO pedido VALUES(790,21,4,3,'16/05/13');
INSERT INTO pedido VALUES(791,14,1,3,'24/05/13');
INSERT INTO pedido VALUES(792,21,1,1,'24/05/13');
INSERT INTO pedido VALUES(793,27,8,6,'5/05/13');
INSERT INTO pedido VALUES(794,29,26,6,'1/05/13');
INSERT INTO pedido VALUES(795,27,27,9,'3/05/13');
INSERT INTO pedido VALUES(796,10,29,4,'19/05/13');
INSERT INTO pedido VALUES(797,5,5,7,'8/05/13');
INSERT INTO pedido VALUES(798,11,14,4,'30/05/13');
INSERT INTO pedido VALUES(799,20,24,9,'25/05/13');
INSERT INTO pedido VALUES(800,22,11,7,'30/05/13');
INSERT INTO pedido VALUES(801,11,28,7,'16/05/13');
INSERT INTO pedido VALUES(802,21,12,8,'29/05/13');
INSERT INTO pedido VALUES(803,8,11,1,'10/05/13');
INSERT INTO pedido VALUES(804,5,5,10,'15/05/13');
INSERT INTO pedido VALUES(805,8,13,2,'26/05/13');
INSERT INTO pedido VALUES(806,27,25,1,'19/05/13');
INSERT INTO pedido VALUES(807,30,30,3,'7/05/13');
INSERT INTO pedido VALUES(808,11,9,3,'4/05/13');
INSERT INTO pedido VALUES(809,15,16,1,'3/05/13');
INSERT INTO pedido VALUES(810,1,12,8,'20/05/13');
INSERT INTO pedido VALUES(811,13,6,3,'11/05/13');
INSERT INTO pedido VALUES(812,26,18,3,'19/05/13');
INSERT INTO pedido VALUES(813,1,11,8,'14/05/13');
INSERT INTO pedido VALUES(814,27,22,3,'17/05/13');
INSERT INTO pedido VALUES(815,14,28,4,'6/05/13');
INSERT INTO pedido VALUES(816,20,1,8,'8/05/13');
INSERT INTO pedido VALUES(817,24,19,10,'28/05/13');
INSERT INTO pedido VALUES(818,2,30,1,'16/05/13');
INSERT INTO pedido VALUES(819,1,29,5,'2/05/13');
INSERT INTO pedido VALUES(820,29,22,10,'18/05/13');
INSERT INTO pedido VALUES(821,22,13,9,'17/05/13');
INSERT INTO pedido VALUES(822,11,14,1,'7/05/13');
INSERT INTO pedido VALUES(823,9,9,5,'20/05/13');
INSERT INTO pedido VALUES(824,12,27,2,'18/05/13');
INSERT INTO pedido VALUES(825,5,5,7,'9/05/13');
INSERT INTO pedido VALUES(826,30,17,4,'16/05/13');
INSERT INTO pedido VALUES(827,23,23,6,'15/05/13');
INSERT INTO pedido VALUES(828,8,25,3,'29/05/13');
INSERT INTO pedido VALUES(829,21,29,2,'3/05/13');
INSERT INTO pedido VALUES(830,28,14,7,'12/05/13');
INSERT INTO pedido VALUES(831,16,7,9,'17/05/13');
INSERT INTO pedido VALUES(832,7,9,7,'23/05/13');
INSERT INTO pedido VALUES(833,12,3,6,'14/05/13');
INSERT INTO pedido VALUES(834,6,29,2,'10/05/13');
INSERT INTO pedido VALUES(835,27,13,3,'2/05/13');
INSERT INTO pedido VALUES(836,5,26,6,'29/05/13');
INSERT INTO pedido VALUES(837,7,30,10,'7/05/13');
INSERT INTO pedido VALUES(838,5,21,6,'10/05/13');
INSERT INTO pedido VALUES(839,25,11,3,'8/05/13');
INSERT INTO pedido VALUES(840,6,16,5,'21/05/13');
